id,nc,sent,rank label,rank pred,input,output,time
0,storfisk,Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.,,"['61886671265.png', '37946170345.png', '84914714498.png', '47150772799.png', '28892435916.png']","Consider the expression: [storfisk] in the Norwegian language, and its meaning in context: [Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",1.4368677139282227
1,storfisk,"Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.",,"['61886671265.png', '47150772799.png', '84914714498.png', '28892435916.png', '37946170345.png']","Consider the expression: [storfisk] in the Norwegian language, and its meaning in context: [Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",0.9947545528411865
2,storfisk,Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.,,"['61886671265.png', '37946170345.png', '47150772799.png', '84914714498.png', '28892435916.png']","Consider the expression: [storfisk] in the Norwegian language, and its meaning in context: [Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",0.7801179885864258
3,storfisk,"Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.",,"['61886671265.png', '37946170345.png', '28892435916.png', '47150772799.png', '84914714498.png']","Consider the expression: [storfisk] in the Norwegian language, and its meaning in context: [Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 2, 3, 1]",1.0978319644927979
4,kattøye,"I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.",,"['49827768665.png', '21316162336.png', '96869161635.png', '56164360799.png', '66956412743.png']","Consider the expression: [kattøye] in the Norwegian language, and its meaning in context: [I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",0.7547740936279297
5,kattøye,"Syklister skal ha kattøye som lyser bak, og det skal være synlig.",,"['21316162336.png', '49827768665.png', '56164360799.png', '66956412743.png', '96869161635.png']","Consider the expression: [kattøye] in the Norwegian language, and its meaning in context: [Syklister skal ha kattøye som lyser bak, og det skal være synlig.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 4, 2]",0.803246021270752
6,kattøye,"Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.",,"['21316162336.png', '49827768665.png', '96869161635.png', '66956412743.png', '56164360799.png']","Consider the expression: [kattøye] in the Norwegian language, and its meaning in context: [Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",0.8777079582214355
7,kattøye,"Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.",,"['21316162336.png', '56164360799.png', '49827768665.png', '66956412743.png', '96869161635.png']","Consider the expression: [kattøye] in the Norwegian language, and its meaning in context: [Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 3, 4]",0.798222541809082
8,lommerusk,I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.,,"['39470694619.png', '15502541407.png', '55869545936.png', '40154770614.png', '80868078095.png']","Consider the expression: [lommerusk] in the Norwegian language, and its meaning in context: [I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 3, 2, 1]",0.8020808696746826
9,lommerusk,FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.,,"['39470694619.png', '55869545936.png', '15502541407.png', '40154770614.png', '80868078095.png']","Consider the expression: [lommerusk] in the Norwegian language, and its meaning in context: [FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 4, 3]",0.6798021793365479
