id,nc,sent,rank label,rank pred,input,output,time
0,黑箱,所有领导人由少数人闭门决定，完全黑箱作业。,,"['22375425421.png', '40892042938.png', '23086440420.png', '29824057753.png', '95235295557.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [所有领导人由少数人闭门决定，完全黑箱作业。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 1, 4, 2]",2.174396276473999
1,黑箱,第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。,,"['29824057753.png', '22375425421.png', '40892042938.png', '23086440420.png', '95235295557.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 3, 5]",0.810624361038208
2,黑箱,对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，,,"['22375425421.png', '40892042938.png', '23086440420.png', '95235295557.png', '29824057753.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 4, 1, 2]",0.9677302837371826
3,黑箱,在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，,,"['22375425421.png', '40892042938.png', '23086440420.png', '95235295557.png', '29824057753.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 2, 1, 3]",1.0224096775054932
4,谋生之道,我们每一个人不都需要知道正确的谋生之道吗?,,"['51989636373.png', '49289377128.png', '74217904944.png', '63783635329.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [我们每一个人不都需要知道正确的谋生之道吗?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",0.9351670742034912
5,谋生之道,中餐馆，华人天然的谋生之道。,,"['51989636373.png', '74217904944.png', '49289377128.png', '63783635329.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [中餐馆，华人天然的谋生之道。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",1.1596217155456543
6,谋生之道,谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。,,"['51989636373.png', '74217904944.png', '63783635329.png', '49289377128.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",0.8637807369232178
7,道路反光标记,"本实用新型提供一种自清洁道路反光标记,",,"['67403558212.png', '51131344804.png', '59492661352.png', '70189136261.png', '63270568336.png']","Consider the expression: [道路反光标记] in the Chinese language, and its meaning in context: [本实用新型提供一种自清洁道路反光标记,]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",0.9639992713928223
8,道路反光标记,"道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,",,"['67403558212.png', '59492661352.png', '51131344804.png', '63270568336.png', '70189136261.png']","Consider the expression: [道路反光标记] in the Chinese language, and its meaning in context: [道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",1.0983366966247559
9,九牛一毛,看起来花了不少钱，但和赚的相比就是九牛一毛了。,,"['30206506042.png', '96038878319.png', '26510820913.png', '59731214310.png', '98490627148.png']","Consider the expression: [九牛一毛] in the Chinese language, and its meaning in context: [看起来花了不少钱，但和赚的相比就是九牛一毛了。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",0.8412578105926514
