id,nc,sent,rank label,rank pred,input,output,time
0,ცუდი ნაყოფი,კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.,,"['45789558651.png', '49030358999.png', '87139807946.png', '30328984881.png', '51557411384.png']","Consider the expression: [ცუდი ნაყოფი] in the Georgian language, and its meaning in context: [კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",1.9067435264587402
1,ცუდი ნაყოფი,"არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს",,"['45789558651.png', '87139807946.png', '49030358999.png', '51557411384.png', '30328984881.png']","Consider the expression: [ცუდი ნაყოფი] in the Georgian language, and its meaning in context: [არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",0.7758848667144775
2,ცუდი ნაყოფი,"ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.",,"['45789558651.png', '87139807946.png', '49030358999.png', '51557411384.png', '30328984881.png']","Consider the expression: [ცუდი ნაყოფი] in the Georgian language, and its meaning in context: [ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 5, 3]",0.8541433811187744
3,ცუდი ნაყოფი,"და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.",,"['45789558651.png', '87139807946.png', '49030358999.png', '30328984881.png', '51557411384.png']","Consider the expression: [ცუდი ნაყოფი] in the Georgian language, and its meaning in context: [და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 5, 2, 1]",1.0165510177612305
4,ვინმესთვის თვალის ახელა,"საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.",,"['80536706790.png', '96676136108.png', '90428631697.png', '51884317144.png', '22521627994.png']","Consider the expression: [ვინმესთვის თვალის ახელა] in the Georgian language, and its meaning in context: [საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",0.7721717357635498
5,ვინმესთვის თვალის ახელა,ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!,,"['80536706790.png', '90428631697.png', '96676136108.png', '51884317144.png', '22521627994.png']","Consider the expression: [ვინმესთვის თვალის ახელა] in the Georgian language, and its meaning in context: [ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 3, 4, 2]",0.8234634399414062
6,ვინმესთვის თვალის ახელა,"მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.",,"['90428631697.png', '80536706790.png', '96676136108.png', '22521627994.png', '51884317144.png']","Consider the expression: [ვინმესთვის თვალის ახელა] in the Georgian language, and its meaning in context: [მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",0.936943769454956
7,ვინმესთვის თვალის ახელა,"წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.",,"['80536706790.png', '90428631697.png', '96676136108.png', '51884317144.png', '22521627994.png']","Consider the expression: [ვინმესთვის თვალის ახელა] in the Georgian language, and its meaning in context: [წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",1.0725152492523193
8,დიდი მოთამაშე,"თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.",,"['93154424147.png', '94074678561.png', '76367116350.png', '29095611374.png', '74070817271.png']","Consider the expression: [დიდი მოთამაშე] in the Georgian language, and its meaning in context: [თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",1.5183792114257812
9,დიდი მოთამაშე,გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე,,"['93154424147.png', '29095611374.png', '76367116350.png', '94074678561.png', '74070817271.png']","Consider the expression: [დიდი მოთამაშე] in the Georgian language, and its meaning in context: [გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 5, 2]",0.9578719139099121
