id,nc,sent,rank label,rank pred,input,output,time
1,黑箱,第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。,,"['29824057753.png', '40892042938.png', '23086440420.png', '22375425421.png', '95235295557.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",2.4128177165985107
2,黑箱,对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，,,"['22375425421.png', '40892042938.png', '23086440420.png', '95235295557.png', '29824057753.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 4, 1, 2]",1.0270905494689941
3,黑箱,在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，,,"['22375425421.png', '23086440420.png', '95235295557.png', '40892042938.png', '29824057753.png']","Consider the expression: [黑箱] in the Chinese language, and its meaning in context: [在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",1.507138729095459
4,谋生之道,我们每一个人不都需要知道正确的谋生之道吗?,,"['51989636373.png', '63783635329.png', '74217904944.png', '49289377128.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [我们每一个人不都需要知道正确的谋生之道吗?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",1.5110459327697754
5,谋生之道,中餐馆，华人天然的谋生之道。,,"['51989636373.png', '63783635329.png', '74217904944.png', '49289377128.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [中餐馆，华人天然的谋生之道。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 4, 2]",1.768531322479248
6,谋生之道,谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。,,"['74217904944.png', '63783635329.png', '51989636373.png', '49289377128.png', '16821056139.png']","Consider the expression: [谋生之道] in the Chinese language, and its meaning in context: [谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 3, 5]",1.0910155773162842
7,道路反光标记,"本实用新型提供一种自清洁道路反光标记,",,"['67403558212.png', '59492661352.png', '51131344804.png', '63270568336.png', '70189136261.png']","Consider the expression: [道路反光标记] in the Chinese language, and its meaning in context: [本实用新型提供一种自清洁道路反光标记,]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 5, 3]",5.49215030670166
8,道路反光标记,"道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,",,"['67403558212.png', '59492661352.png', '51131344804.png', '63270568336.png', '70189136261.png']","Consider the expression: [道路反光标记] in the Chinese language, and its meaning in context: [道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",1.1977827548980713
9,九牛一毛,看起来花了不少钱，但和赚的相比就是九牛一毛了。,,"['30206506042.png', '96038878319.png', '26510820913.png', '59731214310.png', '98490627148.png']","Consider the expression: [九牛一毛] in the Chinese language, and its meaning in context: [看起来花了不少钱，但和赚的相比就是九牛一毛了。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",4.216013431549072
10,九牛一毛,这时的音乐版权尚在数万之间，对于网易这样的互联网巨头而言不过九牛一毛!,,"['30206506042.png', '26510820913.png', '96038878319.png', '98490627148.png', '59731214310.png']","Consider the expression: [九牛一毛] in the Chinese language, and its meaning in context: [这时的音乐版权尚在数万之间，对于网易这样的互联网巨头而言不过九牛一毛!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 2, 3]",2.487499952316284
11,千钧一发,眼看阿某就要摆脱包围圈，千钧一发之际，民警王子荣果断飞起右脚，踢向阿某的钢棍。,,"['30652490999.png', '79027994353.png', '38392588816.png', '97499700396.png', '12531541750.png']","Consider the expression: [千钧一发] in the Chinese language, and its meaning in context: [眼看阿某就要摆脱包围圈，千钧一发之际，民警王子荣果断飞起右脚，踢向阿某的钢棍。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 4, 5, 3]",1.0349233150482178
12,千钧一发,鉴于天气的寒冷和形势的千钧一发，管平和李凯、李军果然决定往上游方向走，逆流施救。,,"['30652490999.png', '79027994353.png', '38392588816.png', '97499700396.png', '12531541750.png']","Consider the expression: [千钧一发] in the Chinese language, and its meaning in context: [鉴于天气的寒冷和形势的千钧一发，管平和李凯、李军果然决定往上游方向走，逆流施救。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",2.561690092086792
13,唱反调,这种和应试教育培训班完全“唱反调”的新鲜教育模式，有没有得到南京家长的认可？,,"['50030842230.png', '92220317928.png', '46506753952.png', '44855922733.png', '65271340779.png']","Consider the expression: [唱反调] in the Chinese language, and its meaning in context: [这种和应试教育培训班完全“唱反调”的新鲜教育模式，有没有得到南京家长的认可？]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",2.7370474338531494
14,唱反调,三星近日开始与微软大力宣传推广Windows 10公开“唱反调”，表示暂时并不建议用户升级Windows 10系统。,,"['44855922733.png', '50030842230.png', '65271340779.png', '46506753952.png', '92220317928.png']","Consider the expression: [唱反调] in the Chinese language, and its meaning in context: [三星近日开始与微软大力宣传推广Windows 10公开“唱反调”，表示暂时并不建议用户升级Windows 10系统。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",2.995795488357544
15,唱反调,他试着把曲调倒过来唱反调，这种唱法非常奇怪。,,"['50030842230.png', '44855922733.png', '65271340779.png', '92220317928.png', '46506753952.png']","Consider the expression: [唱反调] in the Chinese language, and its meaning in context: [他试着把曲调倒过来唱反调，这种唱法非常奇怪。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 4, 5]",3.505279541015625
16,唱反调,他把乐谱倒过来唱反调，显得很滑稽。,,"['44855922733.png', '65271340779.png', '46506753952.png', '50030842230.png', '92220317928.png']","Consider the expression: [唱反调] in the Chinese language, and its meaning in context: [他把乐谱倒过来唱反调，显得很滑稽。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 1, 5, 4]",1.1388256549835205
17,赃款,经过查证，李华波跨境转移赃款和伪造移民申请资料的有关证据被陆续提交给新加坡方面。,,"['51097554662.png', '24018127446.png', '25974200814.png', '65256263363.png', '70906939265.png']","Consider the expression: [赃款] in the Chinese language, and its meaning in context: [经过查证，李华波跨境转移赃款和伪造移民申请资料的有关证据被陆续提交给新加坡方面。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 5, 3]",3.8146770000457764
18,赃款,此外，犯罪分子多为临时起意，赃款基本用于日常消费。,,"['24018127446.png', '51097554662.png', '65256263363.png', '70906939265.png', '25974200814.png']","Consider the expression: [赃款] in the Chinese language, and its meaning in context: [此外，犯罪分子多为临时起意，赃款基本用于日常消费。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",1.0207877159118652
19,一马当先,小将傅园慧在女子50米仰泳比赛中一马当先，以27秒66夺得金牌。,,"['12043968900.png', '17958411938.png', '62795327751.png', '86706855496.png', '56893993199.png']","Consider the expression: [一马当先] in the Chinese language, and its meaning in context: [小将傅园慧在女子50米仰泳比赛中一马当先，以27秒66夺得金牌。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 4, 3]",3.0743494033813477
20,一马当先,权重板块多数走高，钢铁行业板块一马当先。,,"['12043968900.png', '86706855496.png', '62795327751.png', '56893993199.png', '17958411938.png']","Consider the expression: [一马当先] in the Chinese language, and its meaning in context: [权重板块多数走高，钢铁行业板块一马当先。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 4, 1]",1.088118553161621
21,火上浇油,茶叶中含有茶碱，有升高体温的作用，发烧病人喝茶无异于“火上浇油”。,,"['17685905232.png', '93822989008.png', '97347444013.png', '99815969889.png', '18795659829.png']","Consider the expression: [火上浇油] in the Chinese language, and its meaning in context: [茶叶中含有茶碱，有升高体温的作用，发烧病人喝茶无异于“火上浇油”。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",1.0529110431671143
22,火上浇油,官方的这份声明很明显的偏袒一方不仅无助于事态的平息，反而起到了火上浇油的反作用。,,"['17685905232.png', '97347444013.png', '93822989008.png', '99815969889.png', '18795659829.png']","Consider the expression: [火上浇油] in the Chinese language, and its meaning in context: [官方的这份声明很明显的偏袒一方不仅无助于事态的平息，反而起到了火上浇油的反作用。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",0.989962100982666
23,火上浇油,他在火上浇油，火更旺了。,,"['17685905232.png', '93822989008.png', '97347444013.png', '18795659829.png', '99815969889.png']","Consider the expression: [火上浇油] in the Chinese language, and its meaning in context: [他在火上浇油，火更旺了。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",1.1243629455566406
24,火上浇油,有位学生在做实验的时候不小心在火上浇油，实验失败了。,,"['93822989008.png', '17685905232.png', '97347444013.png', '18795659829.png', '99815969889.png']","Consider the expression: [火上浇油] in the Chinese language, and its meaning in context: [有位学生在做实验的时候不小心在火上浇油，实验失败了。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 5, 4]",3.209397554397583
25,学院奖,"2007年11月，这一在全球金融业中领先的集中运营平台 ，被授予""中国管理学院奖""",,"['15724359858.png', '49003627968.png', '13212394411.png', '19482454005.png', '26712162360.png']","Consider the expression: [学院奖] in the Chinese language, and its meaning in context: [2007年11月，这一在全球金融业中领先的集中运营平台 ，被授予""中国管理学院奖""]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",1.4112341403961182
26,学院奖,中国大学生广告艺术节学院奖启动仪式于2010年10月24日在南昌国际会展中心激情启动。,,"['49003627968.png', '15724359858.png', '19482454005.png', '13212394411.png', '26712162360.png']","Consider the expression: [学院奖] in the Chinese language, and its meaning in context: [中国大学生广告艺术节学院奖启动仪式于2010年10月24日在南昌国际会展中心激情启动。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",1.8003933429718018
27,千锤百炼,中华传统诗文历经岁月淘洗、千锤百炼，成为中华文明的完美体现。,,"['20864949212.png', '67371624634.png', '40753958843.png', '68457856786.png', '14395733356.png']","Consider the expression: [千锤百炼] in the Chinese language, and its meaning in context: [中华传统诗文历经岁月淘洗、千锤百炼，成为中华文明的完美体现。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",4.391631126403809
28,千锤百炼,写出初稿后，放一段时间，反复吟读，千锤百炼。,,"['20864949212.png', '67371624634.png', '40753958843.png', '14395733356.png', '68457856786.png']","Consider the expression: [千锤百炼] in the Chinese language, and its meaning in context: [写出初稿后，放一段时间，反复吟读，千锤百炼。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",1.0789847373962402
29,天灾,在西藏旅行的危险，主要来自天灾，诸如塌方，暴风雪、大水、交通事故等因素。,,"['53328317921.png', '28486473573.png', '13836576209.png', '21370946736.png', '24351206549.png']","Consider the expression: [天灾] in the Chinese language, and its meaning in context: [在西藏旅行的危险，主要来自天灾，诸如塌方，暴风雪、大水、交通事故等因素。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 2, 3, 4]",1.2247657775878906
30,天灾,日本福岛核电站事故，如果前期是天灾导致的话，这之后日本方面的处理措施，毋庸讳言，确实有些人祸祸害的因素在里面。,,"['53328317921.png', '28486473573.png', '21370946736.png', '13836576209.png', '24351206549.png']","Consider the expression: [天灾] in the Chinese language, and its meaning in context: [日本福岛核电站事故，如果前期是天灾导致的话，这之后日本方面的处理措施，毋庸讳言，确实有些人祸祸害的因素在里面。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",1.2290115356445312
31,情感专栏作家,山哥，一位自媒体人，同时也是《知音网》的特约情感专栏作家,,"['53846971385.png', '46375643255.png', '74140941633.png', '23295382866.png', '90240587988.png']","Consider the expression: [情感专栏作家] in the Chinese language, and its meaning in context: [山哥，一位自媒体人，同时也是《知音网》的特约情感专栏作家]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 1, 3]",2.692614793777466
32,情感专栏作家,情感专栏作家舒平长期在齐鲁晚报“青未了”开设情感专栏，她的很多专栏文章被大批读者喜爱。,,"['23295382866.png', '90240587988.png', '74140941633.png', '46375643255.png', '53846971385.png']","Consider the expression: [情感专栏作家] in the Chinese language, and its meaning in context: [情感专栏作家舒平长期在齐鲁晚报“青未了”开设情感专栏，她的很多专栏文章被大批读者喜爱。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 5, 4]",1.1744153499603271
33,陈年旧事,很多陈年旧事却怎么也忘不掉，,,"['13370135195.png', '63917349907.png', '47910700532.png', '13497256708.png', '44836976486.png']","Consider the expression: [陈年旧事] in the Chinese language, and its meaning in context: [很多陈年旧事却怎么也忘不掉，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 3, 1, 5]",2.487905979156494
34,陈年旧事,陈年旧事，历历心头绕。,,"['63917349907.png', '44836976486.png', '13370135195.png', '47910700532.png', '13497256708.png']","Consider the expression: [陈年旧事] in the Chinese language, and its meaning in context: [陈年旧事，历历心头绕。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 3, 4, 2]",1.0753350257873535
35,风马牛不相及,当时，两个专业“风马牛不相及”，被生拉硬拽在一起，业内人士称之为“怪胎”。,,"['56793190111.png', '68952791921.png', '54966934795.png', '54769710607.png', '11167909096.png']","Consider the expression: [风马牛不相及] in the Chinese language, and its meaning in context: [当时，两个专业“风马牛不相及”，被生拉硬拽在一起，业内人士称之为“怪胎”。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 1, 5]",1.2369060516357422
36,风马牛不相及,许多人都认为颈椎病和咽喉炎是风马牛不相及的事情,,"['68952791921.png', '56793190111.png', '11167909096.png', '54966934795.png', '54769710607.png']","Consider the expression: [风马牛不相及] in the Chinese language, and its meaning in context: [许多人都认为颈椎病和咽喉炎是风马牛不相及的事情]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 1, 2, 5]",4.319930553436279
37,纸上谈兵,拒绝纯粹培训学校，他们远离真实项目，纸上谈兵！,,"['16456095071.png', '79701349188.png', '84145997660.png', '94643478949.png', '63480023532.png']","Consider the expression: [纸上谈兵] in the Chinese language, and its meaning in context: [拒绝纯粹培训学校，他们远离真实项目，纸上谈兵！]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 4, 2, 1]",4.138450622558594
38,纸上谈兵,不抓落实，追赶超越就是纸上谈兵。,,"['94643478949.png', '84145997660.png', '16456095071.png', '79701349188.png', '63480023532.png']","Consider the expression: [纸上谈兵] in the Chinese language, and its meaning in context: [不抓落实，追赶超越就是纸上谈兵。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",3.6201961040496826
39,产后抑郁症,从医学上来说， 产后抑郁症跟普通抑郁症的表征上有很多类似的地方，,,"['61569790914.png', '94138937657.png', '66742452889.png', '45253634757.png', '58730065643.png']","Consider the expression: [产后抑郁症] in the Chinese language, and its meaning in context: [从医学上来说， 产后抑郁症跟普通抑郁症的表征上有很多类似的地方，]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",2.4068760871887207
40,产后抑郁症,心理治疗、药物治疗和物理治疗是防治产后抑郁症的有效方法。,,"['61569790914.png', '66742452889.png', '94138937657.png', '58730065643.png', '45253634757.png']","Consider the expression: [产后抑郁症] in the Chinese language, and its meaning in context: [心理治疗、药物治疗和物理治疗是防治产后抑郁症的有效方法。]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",1.0690507888793945
