id,nc,sent,rank label,rank pred,input,output,time
292,одмор без одмора,"Кад се нека јединица распореди у бригадну или дивизијску резерву обично се говорило да је она на одмору, али то је најчешће, због војне, политичке обуке, културно-просветног и осталог рада, био одмор без правог одмора.",,"['74563018194.png', '45243463816.png', '26991961407.png', '37958639142.png', '39018275453.png']","Consider the expression: [одмор без одмора] in the Serbian language, and its meaning in context: [Кад се нека јединица распореди у бригадну или дивизијску резерву обично се говорило да је она на одмору, али то је најчешће, због војне, политичке обуке, културно-просветног и осталог рада, био одмор без правог одмора.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",1.1235685348510742
322,ланчана реакција,"У овом тексту ће бити приказана ланчана реакција што ју је изазвало повећање цена нафте, а то ће олакшати да се сагледа обрт у тој реакцији сада кад су цене нафте кренуле наниже.",,"['49429650200.png', '86814141273.png', '67880876064.png', '26792249027.png', '83507846540.png']","Consider the expression: [ланчана реакција] in the Serbian language, and its meaning in context: [У овом тексту ће бити приказана ланчана реакција што ју је изазвало повећање цена нафте, а то ће олакшати да се сагледа обрт у тој реакцији сада кад су цене нафте кренуле наниже.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 4, 3]",1.1657307147979736
323,ланчана реакција,"Ако Грчка склизне ка банкроту, инвеститори ће одбијати да улажу новац у друге болешљиве чланице еврозоне, неке банке ће колабирати и настаће ланчана реакција.",,"['49429650200.png', '67880876064.png', '86814141273.png', '26792249027.png', '83507846540.png']","Consider the expression: [ланчана реакција] in the Serbian language, and its meaning in context: [Ако Грчка склизне ка банкроту, инвеститори ће одбијати да улажу новац у друге болешљиве чланице еврозоне, неке банке ће колабирати и настаће ланчана реакција.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 2, 5]",1.0688600540161133
324,ланчана реакција,"Уколико се носиоци ланаца који развијају реакције у ланцу, у своме деловању паралишу погодним додацима који их везују или апсорбују, или притиском или површином зидова посуде уклоне из реакције, ланчана реацкија се обуставља, ланац се прекида и реакција може потпуно престати.",,"['49429650200.png', '86814141273.png', '67880876064.png', '26792249027.png', '83507846540.png']","Consider the expression: [ланчана реакција] in the Serbian language, and its meaning in context: [Уколико се носиоци ланаца који развијају реакције у ланцу, у своме деловању паралишу погодним додацима који их везују или апсорбују, или притиском или површином зидова посуде уклоне из реакције, ланчана реацкија се обуставља, ланац се прекида и реакција може потпуно престати.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1,5,4,2,3]",2.632885694503784
325,ланчана реакција,"Оксидација липида је ланчана рекција која се одиграва у три фазе, постепеним деловањем кисеоника на масти и уља.",,"['49429650200.png', '86814141273.png', '67880876064.png', '26792249027.png', '83507846540.png']","Consider the expression: [ланчана реакција] in the Serbian language, and its meaning in context: [Оксидација липида је ланчана рекција која се одиграва у три фазе, постепеним деловањем кисеоника на масти и уља.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 2, 3]",3.4294638633728027
326,пушкица за преписивање,Мислим да ћете се сложити са нама када проверите да ли су баш ово најдомишљатије пушкице за преписивање икада?,,"['25022005830.png', '67152254488.png', '95747958343.png', '62150468346.png', '23677243402.png']","Consider the expression: [пушкица за преписивање] in the Serbian language, and its meaning in context: [Мислим да ћете се сложити са нама када проверите да ли су баш ово најдомишљатије пушкице за преписивање икада?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 2, 5]",2.5182583332061768
351,клецање колена,"Чувару клецају колена, од страха очи затвара, дрхће целим телом и притиште се уз плот.",,"['75487909087.png', '23715198802.png', '25078688537.png', '86588301619.png', '86951054656.png']","Consider the expression: [клецање колена] in the Serbian language, and its meaning in context: [Чувару клецају колена, од страха очи затвара, дрхће целим телом и притиште се уз плот.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 4, 5]",3.5722880363464355
352,клецање колена,Ниједан успешан човек није дошао до успеха лако и свако падање и клецање колена на том путу је саставни део путовања сваког успешног човека.,,"['23715198802.png', '75487909087.png', '25078688537.png', '86588301619.png', '86951054656.png']","Consider the expression: [клецање колена] in the Serbian language, and its meaning in context: [Ниједан успешан човек није дошао до успеха лако и свако падање и клецање колена на том путу је саставни део путовања сваког успешног човека.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",1.3123688697814941
353,клецање колена,"Па придржава Савету, сретну матер, да се не стропошта на земљу заједно с дететом, како јој клецају колена, па посрће.",,"['23715198802.png', '25078688537.png', '75487909087.png', '86951054656.png', '86588301619.png']","Consider the expression: [клецање колена] in the Serbian language, and its meaning in context: [Па придржава Савету, сретну матер, да се не стропошта на земљу заједно с дететом, како јој клецају колена, па посрће.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 1, 4]",1.4237847328186035
354,клецање колена,"Пацијенти се жале на нестабилност колена, клецање колена и појаву шкрипања у колену.",,"['23715198802.png', '75487909087.png', '86588301619.png', '25078688537.png', '86951054656.png']","Consider the expression: [клецање колена] in the Serbian language, and its meaning in context: [Пацијенти се жале на нестабилност колена, клецање колена и појаву шкрипања у колену.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",1.0518689155578613
